no , text , class
2016000154A , 次 ラウンド 球 装置 始動 変 大当たり 実行 特別 契機 スイッチ 継続 入賞 判定 領域 確定 確 遊技 開放 カウント , A63F
2016000155A , 制御 ハネ 振る 振り分ける 左 変 大当たり 球 契機 cpu 継続 右 入賞 判定 領域 始動 進行 確 遊技 姿勢 , A63F
2016000156A , 次 ラウンド 通過 装置 始動 変 大当たり 実行 球 契機 cpu 継続 入賞 判定 領域 確定 確 遊技 開放 メイン , A63F
2016000159A , 下方 短い 下流 両面 背面 前後 ガイド 格好 減速 右側 ばたつく 通路 衝突 突起 速度 直径 挟む 遊技 流下 後方 , A63F
2016000160A , 行う 終了 状態 演出 比す 期間 否 特別 事前 意欲 予告 減退 判定 契機 データ 取得 所定 特定 遊技 前記 , A63F
2016000165A , 持 分析 終了 所要 情報 媒体 開始 当該 状態 数量 有利 機種 獲得 特定 時間 所定 識別 遊技 算出 時刻 , A63F
2016000170A , 満たす 要素 基準 状態 体感 一致 盛り上げる 度合い 自然 複数 期間 指示 契機 一体 プレーヤ 入力 所定 演出 関連 比較 , A63F
2016000171A , 行う 場合 サポート プログラム 成功 うち 複数 期間 指示 前記 回復 内容 プレーヤ 入力 集計 マーカ ゲーム リカバー , A63F
2016000177A , 続行 ベル 気付く 値 ベルリプレイ カウンタ チェリー 所有 下がり やめる 中段 右 上がり 通常 規定 予想 擬似 クレジット 遊技 リプレイ , A63F
2016000178A , 続行 ベル 値 ベルリプレイ カウンタ チェリー 所有 下がり やめる 中段 右 上がり 停止 規定 強 予想 擬似 クレジット 遊技 リプレイ , A63F
2016000190A , レール 球 通路 誘導 前面 並 発射 当該 外 導く 逆戻り b 機構 領域 防止 pe 戻る 形成 操作 遊技 , A63F
2016000191A , レール a 球 通路 誘導 ba 発射 対向 外 ホルダ 動体 右側 逆戻り 機構 領域 防止 pe 戻る 形成 遊技 , A63F
2016000192A , レール a 球 通路 誘導 ba 発射 対向 外 ホルダ 動体 右側 逆戻り 機構 領域 防止 pe 戻る 形成 遊技 , A63F
2016000194A , 確実 取り付ける 流し込む かかる 不正 送り込む 発射 遊技 吸着 浮き上がる p 磁石 鉄製 利用 防止 糸 送出 行為 部材 整流 , A63F
2016000195A , 確実 取り付ける 流し込む かかる 不正 送り込む 発射 遊技 吸着 浮き上がる p 磁石 鉄製 利用 防止 糸 送出 行為 部材 整流 , A63F
2016000198A , コンポーネント 楽しむ 漸増 キット エピソード 各々 セット 複数 ボード 含む 長期間 先行 長期 統合 エピソードボードゲーム 間隔 後続 ゲーム 発売 ルール , A63F
2016000202A , リアルタイム クロック 演出 タイマ 時間 出力 タイム 実行 アウト 変更 結果 音 特定 音量 計測 条件 計時 相当 遊技 設定 , A63F
2016000203A , 絞る 表示 可変 否 変動 例 少ない 2つ 注目 所定 実行 停止 混乱 とき タイミング 興趣 図る 向上 遊技 3つ , A63F
2016000207A , 状況 客 参加 場合 管理 制御 通知 送る 資格 キャンペーン 行なう バナー 達成 ミッション アプリケーション 登録 サーバ インセンティブ ゲーム リダイレクト , A63F
2016000210A , 短い 今回 その後 相対 変動 示唆 特別 損なう 契機 至る 利益 判定 計測 興趣 所定 入賞 前回 遊技 開放 図柄 , A63F
2016000211A , 短い 今回 その後 相対 変動 示唆 特別 損なう 契機 至る 利益 判定 計測 興趣 所定 入賞 前回 遊技 開放 図柄 , A63F
2016000216A , 枠 フロア 調整 移動 前面 立 フレーム 自由 支持 組み込む 所望 載る 高い 上下 単体 昇降 置 遊技 支柱 ベース , A63F
2016000222A , したがう タブレット 楽しむ 端末 多彩 相手 妨害 タッチパネル 所有 フォン 実行 優先 進行 操作 dt 活用 挙動 ゲーム 対戦 スマート , A63F
2016000224A , 行う 球 当選 付与 処理 大当たり 示唆 確率 保留 抽選 特典 段階 かかる 始動 打ち込む 興趣 期待 受け入れる 遊技 定める , A63F
2016000225A , 領域 mpu 作動 モード 実行 外部 開閉 該当 抽選 入賞 注目 設定 種類 遅延 通じる その後 態様 遊技 当否 移行 , A63F
2016000226A , 行う 乱数 mpu ループ 遊技 最大 不正 増加 カウンタ 最小 更新 抽選 定期 向ける 数値 大当たり 態様 情報 当否 超える , A63F
2016000228A , 表示 消去 代表 持つ 回 アイコン 遊技 保留 数 ン 胴 アイコ マシン パチンコ スロット 態様 画像 デフォルト オーバーラップ 弾 , A63F
2016000229A , ラウンド 終了 先読み 演出 可変 データ 開始 可否 実行 状態 保留 ある 有利 継続 報知 示す 読 e 大当り 遊技 , A63F
2016000230A , 今回 前回 参加 不満 大当たり 期間 種別 認識 印象 普通 継続 持つ エンディング 時短 演出 次回 遊技 意欲 特別 図柄 , A63F
2016000231A , 乱数 液晶 種類 メイン 側役 シャッタ pns 保留 抽選 結果 意欲 画面 pnm 始動 演出 特典 当たり 遊技 ハズレ 多彩 , A63F
2016000232A , 乱数 液晶 種類 メイン 側役 シャッタ pns 保留 抽選 結果 意欲 画面 pnm 始動 演出 特典 当たり 遊技 ハズレ 多彩 , A63F
2016000233A , 乱数 液晶 種類 メイン 側役 シャッタ pns 保留 抽選 結果 意欲 画面 pnm 始動 演出 特典 当たり 遊技 ハズレ 多彩 , A63F
2016000234A , 環状 led 発光 円 周 部材 十分 前 l 露出 露光 装飾 該 遮蔽 周回 回転 態様 間隔 可動 断続 , A63F
2016000235A , 予定 制御 ッピングモータ 滑らか カウンタ ステッピングモータ 図柄 電流 リール ステ 励磁 パルス 駒 停止 一致 c 滑り cpu カウント l , A63F
2016000237A , 制御 演出 メイン 実行 特定 保留 示唆 変動 事前 統括 当り 入賞 判定 時点 始動 期待 図柄 遊技 cpu rom , A63F
2016000238A , 次 行う 最大 要する 短い 前 ストップ リール 後 ボタン 停止 時間 操作 受け付ける , A63F
2016000239A , 想定 ラウンド 案内 振る 到達 動作 開始 特別 終了 最短 経過 入賞 時間 タイミング 弾 終期 遊技 開放 先立つ パターン , A63F
2016000241A , 明らか 演出 先行 制御 旨 不都合 状態 結果 基板 受け取る 実行 判定 プログラム 処理 心証 成立 コマンド 遊技 都合 移行 , A63F
2016000242A , 表示 液晶 左右 前面 持つ 移動 全開 シャッタ 初期 位置 動体 開放 画面 導出 im 遮蔽 多様 視覚 画像 cpu , A63F
2016000243A , 演出 低い 背景 特別 パターン 予告 連続 落胆 通常 t 抑える タイミング 興趣 期待 大当り 遊技 移行 , A63F
2016000244A , 持 ライタ 不都合 同一 開始 記憶 時刻 id p 現時点 特定 一致 カードリーダライタ 集計 挿入 読取る 遊技 カード cu リーダ , A63F
2016000245A , セキュリティ 運用 ok 鍵 用いる 初期 シーケンス 通信 具合 担保 とき 基板 電文 実行 取得 sc 認証 不具合 業務 cu , A63F
2016000246A , 多く 演出 場合 開始 変 時短 状態 読 大当り 結果 印象 テーブル 実行 通常 決定 割り当てる 判定 確 遊技 前 , A63F
2016000247A , 多く 演出 場合 開始 変 時短 状態 読 大当り 結果 印象 テーブル 実行 通常 決定 割り当てる 判定 確 遊技 前 , A63F
2016000248A , 多く 演出 場合 開始 変 時短 状態 読 大当り 結果 印象 テーブル 実行 通常 決定 割り当てる 判定 確 遊技 前 , A63F
2016000249A , 多く 演出 場合 開始 変 時短 状態 読 大当り 結果 印象 テーブル 実行 通常 決定 割り当てる 判定 確 遊技 前 , A63F
2016000250A , 行う 球 当選 付与 処理 大当たり 示唆 確率 保留 抽選 特典 段階 かかる 始動 打ち込む 興趣 期待 受け入れる 遊技 定める , A63F
2016000251A , 乱数 液晶 種類 メイン 側役 シャッタ pns 保留 抽選 結果 意欲 画面 pnm 始動 演出 特典 当たり 遊技 ハズレ 多彩 , A63F
2016000252A , 乱数 液晶 種類 メイン 側役 シャッタ pns 保留 抽選 結果 意欲 画面 pnm 始動 演出 特典 当たり 遊技 ハズレ 多彩 , A63F
2016000253A , 乱数 液晶 種類 メイン 側役 シャッタ pns 保留 抽選 結果 意欲 画面 pnm 始動 演出 特典 当たり 遊技 ハズレ 多彩 , A63F
2016000254A , 乱数 液晶 種類 メイン 側役 シャッタ pns 保留 抽選 結果 意欲 画面 pnm 始動 演出 特典 当たり 遊技 ハズレ 多彩 , A63F
2016000255A , 乱数 液晶 種類 メイン 側役 シャッタ pns 保留 抽選 結果 意欲 画面 pnm 始動 演出 特典 当たり 遊技 ハズレ 多彩 , A63F
2016000256A , 乱数 液晶 種類 メイン 側役 シャッタ pns 保留 抽選 結果 意欲 画面 pnm 始動 演出 特典 当たり 遊技 ハズレ 多彩 , A63F
2016000257A , 表示 バッファ 縦 最大 データ 遊技 フレーム 横 座標 軽減 負担 描画 領域 重畳 除く 優先 処理 画像 順位 低い , A63F
2016000258A , 値 実現 バリエーション rom 富む 記憶 プログラム 充分 変動 指定 バイト 豊富 確保 コマンド 表示 動的 多彩 パターン 遊技 ポインタ , A63F
2016000259A , 下方 表示 図柄 富む 可変 配 流下 該 変動 ステージ 装飾 入賞 ゲート 始動 可動 引きつける 遊技 前記 上面 領域 , A63F
2016000260A , 状況 変換 当選 付与 状態 残る 前 サブ 消化 残り少ない 有利 多い at ナビストック マシン 維持 興趣 期待 ゲーム スロット , A63F
2016000261A , 表示 透明 構造 配置 着脱 否 問う 負担 装着 裏 軽減 前側 飾り 入賞 自在 本体 画像 裏側 遊技 , A63F
2016000262A , 表示 透明 外周 光 前面 領域 画像 透過 窓 視認 装着 前側 飾り 接す 孔 周縁 挿入 裏側 遊技 鍔 , A63F
2016000263A , 突 構造 演出 位置決め 大型 設ける センター 後 装着 正確 着脱 自在 孔 前後 可動 裏側 遊技 干渉 嵌る 弾 , A63F
2016000264A , 最終 行う 終了 前回 演出 表示 可変 感じる 実行 複数 低い 予告 段階 通常 決定 アップ ステップ , A63F
2016000266A , 表示 消去 低下 演出 移動 情報 とき 重なる 進行 興趣 構成 箇所 役 操作 伴う 遊技 前記 補助 , A63F
2016000267A , 送信 押し ベル 当選 メイン 受信 制御 正解 知る サブ 不正 利用 判断 報知 at 情報 遊技 複合 , A63F
2016000268A , rt 表示 液晶 上乗せ art タイトル 開始 前 初期 状態 隠れる バー 動き 出現 高める 遮蔽 予測 興趣 遊技 ギミック , A63F
2016000269A , 表示 終了 演出 後 興味 後半 合計 事前 前半 ポイント 特定 判定 結果 決定 タイミング 報知 態様 遊技 特別 加算 , A63F
2016000270A , 表示 最終 供える 演出 まま 動画 画面 促す 情報 行う 特別 gsp 最後 ボタン ge ベット 報知 操作 画像 同様 , A63F
2016000271A , 多様 転 演出 異なる 当該 実行 時計 後 特定 変化 示唆 回り 装飾 停止 新規 その後 態様 遊技 バリエーション 図柄 , A63F
2016000272A , 多様 転 演出 異なる 当該 実行 時計 後 特定 変化 示唆 回り 装飾 停止 新規 その後 態様 遊技 バリエーション 図柄 , A63F
2016000273A , 制御 重複 特殊 演出 オンエッジカウンタ 内部 実行 ボーナス スタート スタートスイッチオンエッジカウンタ レバー 動 決定 回路 操作 当籤 遊技 計数 抱く 傾 , A63F
2016000274A , rt 表示 出目 特殊 art 赤 左 加算 組み合わせ リプ リール フェイク 単調 右 停止 ストック 対応 揃い 遊技 図柄 , A63F
2016000275A , 不可 状態 流入 減退 可変 シャッタ 前方 開閉 位置 移動 動体 意欲 許容 入賞 報知 pe なる 遊技 初期 流下 , A63F
2016000276A , 球 通路 始動 富む 左 経路 流下 振り分け 明確 入口 拘わる 右 通常 排出 振り分ける 方 検出 遊技 開閉 図柄 , A63F
2016000277A , 表示 乱数 値 可変 否 定値 短縮 保留 合致 抽出 多い 個数 判定 決定 所定 興趣 開始 記憶 比較 パターン , A63F
2016000278A , 基本 気分 当選 モード なす 復帰 態様 特別 一新 抽選 ボタン s 減退 経る 興趣 新た 演出 大当り 遊技 移行 , A63F
2016000279A , 封 開封 止 不正 低減 遊技 取り外す 開く ピン 頭部 先細る 抉る 破損 かし ケース 開ける 存 わかる 連結 行為 , A63F
2016000281A , 表示 メダル 付与 該当 複数 旨 組み合わせ no 外れ 抽選 結果 動的 特典 s 高める 停止 意外 絵柄 当たり ゲーム , A63F
2016000282A , 各種 制御 電源 eln cn 不正 ハーネス ln ram 入力 リール 基板 セレクタ 信号 操作 停止 マシン 行為 cpu rom , A63F
2016000283A , 特殊 遊技 背景 モチーフ 低い 昼 夜 予告 向上 実行 停止 示す チャンス 変化 興趣 期待 大当り 画像 信頼 抱く , A63F
2016000284A , 特殊 遊技 背景 モチーフ 低い 昼 夜 予告 向上 実行 停止 示す チャンス 変化 興趣 期待 大当り 画像 信頼 抱く , A63F
2016000285A , 切り換える 制御 同一 異なる 負担 結果 メモリ 抽選 リール 実行 停止 絡める 場合 条件 所定 操作 態様 遊技 切り換え 増大 , A63F
2016000286A , 期待 低下 演出 うち 前 示唆 複数 期間 抽選 結果 特典 導出 実行 報知 契機 種類 抑える 肯定 特定 設定 , A63F
2016000287A , 表示 契機 店内 活用 演出 変動 期間 一斉 時計 抽選 結果 差異 機種 示す 所定 同調 図柄 遊技 非同期 時刻 , A63F
2016000288A , 除く 当選 付与 反映 当り 変 状態 短 抽選 あり 大当り 回数 マンネリ化 多い 場合 パチンコ 興趣 特典 確 遊技 , A63F
2016000289A , 演出 確 モード 対応付ける 度 変 m 条件 変動 確実 ばらつき 実行 確定 時間 準備 図柄 合う ゲーム 保留 順序 , A63F
2016000290A , 除く 当選 付与 反映 当り 変 状態 短 抽選 あり 大当り 回数 マンネリ化 多い 場合 パチンコ 興趣 特典 確 遊技 , A63F
2016000291A , 除く 当選 付与 反映 当り 変 状態 短 抽選 あり 大当り 回数 マンネリ化 多い 場合 パチンコ 興趣 特典 確 遊技 , A63F
2016000292A , 除く 当選 付与 反映 当り 変 状態 短 抽選 あり 大当り 回数 マンネリ化 多い 場合 パチンコ 興趣 特典 確 遊技 , A63F
2016000293A , 除く 当選 付与 反映 当り 変 状態 短 抽選 あり 大当り 回数 マンネリ化 多い 場合 パチンコ 興趣 特典 確 遊技 , A63F
2016000294A , 除く 当選 付与 反映 当り 変 状態 短 抽選 あり 大当り 回数 マンネリ化 多い 場合 パチンコ 興趣 特典 確 遊技 , A63F
2016000295A , 除く 当選 付与 反映 当り 変 状態 短 抽選 あり 大当り 回数 マンネリ化 多い 場合 パチンコ 興趣 特典 確 遊技 , A63F
2016000297A , 通過 状態 モード 多彩 特定 確率 確 口内 当り s 発生 判定 確定 タイプ 興趣 変 大当り 遊技 バリエーション 設定 , A63F
2016000300A , 配置 発光 下隅 前面 扉 中央 臨む 窓 裏 上中 右 装飾 ユニット ハート 打ち込む 上部 可動 サイド 遊技 楽しむ , A63F
2016000301A , 配置 発光 下隅 前面 扉 中央 臨む 窓 裏 上中 右 装飾 ユニット ハート 打ち込む 上部 可動 サイド 遊技 楽しむ , A63F
2016000302A , 表示 行う 演出 多彩 実現 否 抽選 契機 特典 減退 利用 付与 遊技 意欲 , A63F
2016000303A , 表示 行う 演出 多彩 実現 否 抽選 契機 特典 減退 利用 付与 遊技 意欲 , A63F
2016000304A , 終了 報知 演出 特典 ストップ 最後 抽選 うち 可能 実行 停止 リール フリーズ 役 組合せ 擬似 スイッチ 遊技 特定 図柄 , A63F
2016000305A , 終了 報知 演出 特典 ストップ 最後 抽選 うち 可能 実行 組合せ リール フリーズ 役 停止 擬似 スイッチ 遊技 特定 図柄 , A63F
2016000306A , 作成 不具合 演出 具合 店員 比べる 遊技 データ 調整 スピーカ 不正 ホール 音 届く 報知 処理 小さい 音量 気付く 行為 , A63F
2016000307A , 周辺 制御 楽しむ 音楽 耳障り 感じる 扉 心地よい ダイヤル スピーカ 大当り 不快 小さい 強制 mpu 音量 聞く 操作 大きい 遊技 , A63F
2016000308A , 表示 制御 スロット 代表 その後 信号 復帰 ram 大当り 起動 電圧 胴 入力 マシン パチンコ 弾 賞 遊技 cpu なす , A63F
2016000309A , 特殊 チャンス g 遊技 背景 モチーフ 低い 昼 夜 予告 実行 停止 示す 興趣 通常 大当り 画像 信頼 変化 図柄 , A63F
2016000310A , 通常 特殊 夜 g 遊技 背景 モチーフ 低い 昼 変化 予告 移行 実行 停止 示す チャンス 大当り 画像 信頼 図柄 , A63F
2016000311A , 通常 特殊 夜 g 遊技 背景 モチーフ 低い 昼 変化 予告 移行 実行 停止 示す チャンス 大当り 画像 信頼 図柄 , A63F
2016000312A , rt 表示 確率 リプレイ 以後 状態 天井 達する 一般 稼動 逆戻り 段階 順 リプレイタイム 当選 なる つける 遊技 大変 移行 , A63F
2016000314A , 押し ベル 当選 メイン 制御 正解 カウンタ 内部 サブ ストップ 回数 移行 at 信号 出力 マシン スロット 遊技 カウント 外部 , A63F
2016000315A , b スタート 確率 入賞 l リール スイッチ フラグ 窓 当選 操作 レバー 成立 役 持ち越す マシン ストップ 遊技 特定 状態 , A63F
2016000316A , 利点 実現 機能 対応付ける 端末 当該 送信 記憶 ゲーム サーバ ビデオ 判定 表示 情報 付与 キャラクタ プレイ プレイヤ 報酬 ユーザ , A63F
2016000317A , 一時 動作 円筒 カム 演出 阻止 外周 ガイド 渡り 出没 動体 進入 多様 1つ 即時 進行 誘導 ローラ 任意 移行 , A63F
2016000318A , 開口 もつ 係 接 不正 前面 部材 位置 干渉 所定 角度 止 変位 離脱 防止 取付 ボタン 遊技 止す 取り付ける , A63F
2016000319A , 表示 記事 演出 可変 該 遊技 示唆 状態 保留 契機 前記 有利 実行 事前 信頼 方 対応 態様 記憶 特定 , A63F
2016000321A , 動作 ッピングモータ 駆動 到達 復帰 異常 ステッピングモータ 検出 ステ 定期 基準 越える 検知 判定 信号 時間 可動 回転 監視 閾 , A63F
2016000322A , 円滑 通過 媒体 許容 期間 管理 検出 下流 上流 進行 検知 捕捉 中断 投入 規制 専用 遊技 一対 許可 発生 , A63F
2016000323A , 制御 応じる 通過 中断 媒体 許容 期間 管理 検出 終了 係る 進行 検知 捕捉 変則 投入 規制 遊技 位相 許可 , A63F
2016000324A , 表示 制御 装置 stcpu 負担 含める 演算 搭載 検査 軽減 基づく デバッグ ndcpu 行う 判定 処理 接続 演出 遊技 コマンド , A63F
2016000325A , 表示 制御 装置 stcpu 負担 含める 演算 搭載 検査 軽減 基づく デバッグ ndcpu 行う 判定 処理 接続 演出 遊技 コマンド , A63F
2016000326A , c テーブル 内部 開始 決定 夫 サブ スタート l リール レバー 報知 規定 rb 回転 順序 遊技 応じる 当籤 , A63F
2016000327A , a 今回 当選 演出 内部 開始 スタート 示唆 基づく 入賞 ステージ 導入 明確 実行 操作 モード ベット 前回 遊技 切り替え , A63F
2016000328A , 表示 減少 演出 起因 開始 変動 保留 その後 識別 終了 数表示 減らす 個数 停止 情報 投入 成立 消化 遊技 図柄 , A63F
2016000329A , きい 終了 確率 リプレイ メイン 達す 動作 カウンタ サブ 状態 基づく 更新 基板 特定 判定 at 当該 条件 停止 値 , A63F
2016000330A , 当選 レア 面白い 救済 思い 内部 確率 リール 加重 える スイカ 与る 通常 at 決定 フリーズ 潜伏 遊技 変則 図柄 , A63F
2016000331A , 制御 態様 演出 メイン 停滞 状態 モード 出現 フリーズ 折角 興趣 向上 適切 , A63F
2016000332A , 当選 付与 達す 回数 天井 組み合わせ 特別 ライン 契機 有利 特典 入賞 通常 完走 継続 図柄 遊技 両立 カウント 閾 , A63F
2016000333A , 以前 ラウンド 状態 演出 制御 大当たり 示唆 確率 変動 確 時短 持続 特定 報知 エンディング 旨 昇格 遊技 前 特別 , A63F
2016000334A , 演出 通常 大当り モード 対応付ける f 変 段階 状態 短 連続 当り 当選 多様 種類 潜伏 期待 確 遊技 移行 , A63F
2016000335A , 演出 通常 大当り モード 対応付ける f 変 段階 状態 短 連続 当り 当選 多様 種類 潜伏 期待 確 遊技 移行 , A63F
2016000336A , 表示 演出 禁止 対応 遊技 データ 先 生じる 保留 低い 行なう 予告 s 報知 興趣 期待 態様 記憶 変動 , A63F
2016000337A , 表示 盤面 代表 演出 保留 実行 マシン ランプ サブ 右 装飾 報知 胴 スロット 情報 特 組合せ 弾 遊技 図柄 , A63F
2016000338A , 行う 演出 複数 一つ 変える 組み合わせ 位置 視認 形態 部材 発現 装飾 構成 効果 可動 遊技 前記 , A63F
2016000339A , rt パチスロ 特殊 対応 赤 継続 停止 当籤 昇格 削ぐ リール 揃い 上乗せ 組合せ の 成立 期待 フェイク 維持 図柄 , A63F
2016000340A , 表示 側板 コネクタ e 外部 傾ける 設ける 位置 一端 他端 筐 着脱 ユニット 向く 接続 面替 遊技 集中 板 端子 , A63F
2016000341A , 連結 遊技 残存 不正 発見 天 行為 部材 抜ける 筐 ユニット 板 規制 破壊 取り外し 切断 面替 痕跡 不可 挿 , A63F
2016000342A , レール 仕切り コネクタ 奥 移動 遊技 案内 装着 手前 完了 筐 ユニット 替える 規制 体側 面替 溝 部材 板 区間 , A63F
2016000343A , 制御 背 移動 不正 発見 好適 内部 位置 出没 スイッチ 切替える 基板 ユニット 台座 替える 検知 面替 行為 監視 空間 , A63F
2016000344A , 表示 位置 メイン 回 前面 見る 正面 サブ 重なる 画面 間 スライド ユニット マシン 注目 可動 閉鎖 遊技 開放 スロット , A63F
2016000345A , 表示 応じる 要求 並 変動 受ける 貸出す 媒体 数 貸出 ボタン 興趣 払 磁気 大当たり パチンコ 操作 払出し 遊技 カード , A63F
2016000346A , 各種 球 タイマ 行為 異常 検出 一般 スイッチ 有る 入賞 判定 契機 信号 時間 報知 定期 ホール 遊技 監視 レベル , A63F
2016000347A , 表示 図る 円筒 不可能 可変 支 変動 支持 識別 組合 教示 変位 構成 列 パチンコ 相対 回転 わせ 情報 連動 , A63F
2016000348A , 表示 ラウンド 外れる 当選 可変 rs 回数 大当たり 開閉 特別 抽選 結果 制御 s 入賞 注目 a 場合 遊技 当否 , A63F
2016000349A , 亘る 付与 パチスロ 長時間 変動 ボタン 中断 停止 計数 媒体 演出 回数 特典 特定 報知 実行 操作 検出 遊技 当籤 , A63F
2016000362A , 制御 演出 盤 実行 ランプ 開閉 状態 特別 意匠 部材 入賞 区別 判定 始動 条件 成立 閉鎖 遊技 開放 正面 , A63F
2016000365A , 制御 終了 ボーナス 対応 満たす 開始 ベルナビ 状態 基づく 回路 フリーズ 円滑 継続 決定 条件 当選 演出 マシン 遊技 連動 , A63F
2016001352A , 制御 lan 携帯 端末 オフライン 医用 持ち出す 病院 通信 監視 現在 ポイント 判定 下回る 漏洩 圏外 無線 情報 アクセス 隠蔽 , G06F
2016001353A , 消費 コスト 受信 サイズ 乗る 位置 検出 指示 座標 係る 安定 配する 素子 係わる 発信 円周 4つ 電力 本願 空間 , G06F
2016001354A , 要素 c 上 明るい 1つ 光 一部 色 投影 指示 変化 制限 形状 r 領域 作業 照射 範囲 検知 設定 , G06F
2016001355A , 一連 要求 失敗 個別 要素 1つ すべて 構成 削減 イネーブラ 成功 呼び出す 実行 許可 処理 とき 呼び出し 前記 予約 無駄 , G06F
