no , text , class
2016016014A , on 電源 前面 扉 意図 条件 閉鎖 スイッチ 画面 音量 光量 マシン 内容 スロット 遊技 設定 , A63F
2016016015A , on 長押 光量 不正 前面 扉 マシン 払 ストップ スイッチ キー 操作 音量 店 条件 節電 設定 全て しす スロット , A63F
2016016016A , 以降 メダル 自動 リプレイ 開始 加算 リプレイゲーム 検出 導出 入賞 抱く 次 マシン 投入 スロット クレジット 遊技 bet 違和感 , A63F
2016016019A , 表示 制御 演出 始動 否 開始 情報 示唆 事前 係る 実行 判定 効果 決定 先 パチンコ 報知 遊技 残り , A63F
2016016020A , 表示 透過 見え 発光 可変 見る 遊技 位置 後部 識別 とき 推奨 同一 光量 関係 視点 感じ取れる 情報 前記 なくす , A63F
2016016021A , 実施 当選 不利 得る 特別 抽選 本来 利益 規定 始動 特 入賞 係る 形態 遊技 許可 図柄 , A63F
2016016023A , 表示 ミニゲーム 当選 演出 機会 動作 実行 媒体 特別 入力 有利 獲得 本来 成否 均衡 条件 パチンコ 遊技 前記 状態 , A63F
2016016024A , 表示 ミニゲーム 当選 演出 機会 動作 制御 実行 媒体 特別 有利 獲得 楽しむ 成否 入力 条件 稼働 遊技 前記 状態 , A63F
2016016025A , 行う 否 要求 演出 種類 負担 任意 媒体 高度 抽選 事前 基づく 決定 所定 態様 遊技 特別 , A63F
2016016026A , 制御 入賞 期間 並行 異常 状態 エラー 有利 パチンコ 条件 実行 判定 公平 方 特 成立 確 遊技 ゲーム ベース , A63F
2016016027A , 所定 入賞 期間 方 並行 異常 状態 エラー 有利 パチンコ 実行 判定 公平 条件 特 成立 確 遊技 ゲーム ベース , A63F
2016016028A , 所定 入賞 可変 方 並行 異常 状態 エラー 有利 パチンコ 実行 判定 公平 条件 特 成立 確 遊技 ゲーム ベース , A63F
2016016029A , 振る 始動 異なる 媒体 上回る 割合 異常 とき エラー 進入 個数 判定 領域 振り分ける 区別 パチンコ 入賞 原因 遊技 下回る , A63F
2016016034A , 表示 終了 確 維持 異なる 期間 変 特別 確率 変動 大当り 有利 明確 通常 決定 時間 同時 テーブル 遊技 図柄 , A63F
2016016035A , 球 テーブル 振る 変動 関与 特別 通過 口内 普 計時 特定 報知 領域 始動 因る 特 誘導 大当り 遊技 図柄 , A63F
2016016045A , 表示 動作 呈する 演出 駆動 遊技 部材 スライド インパクト 視認 動体 意匠 不能 回り 機構 役 意外 パチンコ 前方 可動 , A63F
2016016047A , かかわる 増大 演出 周期 遊技 負担 電力 期間 読み出す 読 有無 もとづく 該 タイミング 実行 供給 とき 計時 情報 特定 , A63F
2016016054A , 対応 分割 対応付ける 演出 メイン 制御 実行 サブ 期間 連続 特典 特定 報知 決定 有無 付与 期待 態様 遊技 繰り返し , A63F
2016016055A , 繰り返す ループ 演出 メイン 回 サブ 期間 抽選 特典 当選 特定 胴 フリーズ 有無 履歴 期待 態様 遊技 上乗せ 設定 , A63F
2016016057A , 最初 本来 移行 開始 初期 状態 中 営業 の 有利 特典 直後 高める 享受 種類 相当 投資 稼働 遊技 パチンコホール , A63F
2016016061A , 表示 有利 発明 差 可変 回数 一律 実行 とき 結果 識別 至る 所定 導出 特定 条件 タイミング 成立 情報 遊技 , A63F
2016016063A , 行う 動作 対応付ける 演出 中断 部材 可能 特定 実行 他 対応 可動 大当り 下 , A63F
2016016065A , 表示 組み合わせ 報知 演出 複数 示唆 変動 大当り 事前 有る 付す 同色 決定 有無 停止 期待 順序 遊技 色彩 図柄 , A63F
2016016070A , 演出 遊技 複数 変動 保留 中 図る 実行 効果 決定 対象 態様 記憶 特定 パターン , A63F
2016016071A , 起因 可否 モード 場合 切り替わる 時短 切り替え 状態 変動 分類 進入 実行 大役 決定 とき 演出 削減 態様 遊技 設定 , A63F
2016016074A , 全て 制御 発明 当選 付与 一つ 意欲 媒体 方法 行う 確率 抽選 プレイヤ 要求 前記 関連付ける 継続 記憶 ゲーム コンピュータ , A63F
2016016075A , 行う 制御 長い 演出 期間 特別 状態 不利 更新 間隔 有利 可能 高める 場合 時間 パチンコ 興趣 遊技 , A63F
2016016080A , レール 下面 接触 緩衝 かかる 移動 部材 位置 演出 l 負荷 緩和 衝撃 規制 設ける 上面 ベース , A63F
2016016081A , 制御 ドライバ 左右 左側 動力 移動 伝達 l 軽減 右側 励磁 モータ 機構 負荷 演出 ic パターン 部分 cpu 駆動 , A63F
2016016082A , 動作 b 傾斜 移動 溝 位置 応じる l 動体 小さい p 角度 とき 方向 演出 範囲 退避 案内 , A63F
2016016085A , 終了 ループ 推測 達す 回数 上限 抽選 特典 係る 開始 実行 事前 処理 時間 進行 計時 関わる 遊技 ウェイト 長期間 , A63F
2016016088A , 補強 スピーカー 取り廻す 静電気 流れる 前面 部品 ブラケット カバー メッキ 金属 装飾 アース ベタ 流れ込む 帯電 ホール 遊技 ケーブル 飾 , A63F
2016016089A , 突 球 詰まり 奥 上側 可変 抑制 下る 対向 ガイド 状態 口内 扉 入賞 開き 平行 パチンコ 傾斜 サイド 遊技 , A63F
2016016092A , 持つ 特徴 位置 低い ある 場合 部位 操作 部品 遊技 前記 , A63F
2016016093A , たるむ 誘導 持つ 下 ハーネス もの 配置 一端 特徴 収容 可能 側 取付 部品 遊技 前記 他端 , A63F
2016016095A , 球 装置 振る 公正 可変 回避 変 全て 振り分け サブアタッカ 振り分ける 普通 入賞 領域 始動 アタッカ 順番 確 遊技 打つ , A63F
2016016101A , 表示 乱数 エリア 演出 発光 制御 マイコン 各々 保留 結果 事前 特定 判定 領域 数値 大当たり パチンコ 対応 態様 遊技 , A63F
2016016102A , 表示 乱数 別種 演出 数値 マイコン 保留 面白み 事前 機種 特定 判定 領域 まとまり 結果 logo 態様 意味 略称 もたせる , A63F
2016016104A , 表示 乱数 模 演出 発光 制御 マイコン エリア 保留 結果 事前 意匠 特定 判定 領域 数値 大当たり パチンコ 態様 遊技 , A63F
2016016109A , 所定 入賞 演出 数 開始 払い出す 条件 前 後 媒体 ボタン 促す 実行 成立 役 操作 ベット 遊技 上記 , A63F
2016016112A , a 確率 付与 b モード ルート 変 時短 昇格 契機 様々 回数 段階 辿る 領域 大当たり 入賞 確 遊技 潜 , A63F
2016016113A , 全て 連 詳細 演出 それぞれ 同一 該当 煩雑 当該 当てはめる 疑似 カテゴリ 抽選 回数 構成 決定 n パターン 選び出す 回 , A63F
2016016118A , 所定 長い 許容 遊技 段階 状態 与える 前記 有利 多い 該 損失 条件 要す 準備 区間 長引く ゲーム 充足 移行 , A63F
2016016119A , 最初 終了 b 演出 開始 正解 フリーズ 上述 ストップ リール ボタン r 停止 再開 条件 操作 成立 遊技 打順 at , A63F
2016016120A , 最初 終了 b 演出 ミス 左 開始 停止 フリーズ ストップ リール ボタン r 通常 再開 条件 操作 成立 遊技 ペナルティ , A63F
2016016132A , 有効 行う 終了 演出 期間 実施 形態 報知 とき 操作 遊技 認識 , A63F
2016016133A , 行う 有効 終了 演出 とき 期間 実施 形態 促す 報知 種類 操作 促進 遊技 認識 , A63F
2016016134A , 有効 行う 終了 演出 期間 実施 形態 間 報知 とき 操作 遊技 認識 , A63F
2016016135A , 指示 対応付ける それぞれ 複数 採用 調整 応じる 独立 プレイヤ 技術 パラメータ 趣向 プレイ ゲーム ルール , A63F
2016016139A , スロット メダル 付与 態様 l c マシン 不利 ストップ スイッチ 通常 推奨 特殊 停止 とき 操作 擬似 以外 遊技 ペナルティ , A63F
2016016141A , 球 b 上方 流下 c 設ける 面部 導入 噛む 可能 入賞 底 回収 ケース 不能 正面 遊技 検知 下向き 弾 , A63F
2016016143A , 常態 係 平板 拡大 前面 杆 合 狭小 縦長 上下動 スペース 作動 施錠 付 パチンコ 内側 配置 遊技 止 本体 , A63F
2016016146A , 送信 状況 蓄積 チャット 満たす 条件 ゲーム 関連付ける 確実 知らせる 伝える キャラクタ 他 判定 メッセージ 格納 プレイヤ 欄 , A63F
2016016148A , シリアル 演出 駆動 sl データ パラレル 走る 出力 tr rv 下流 拘わる 定常 導通 受ける クロック 回路 伝送 可動 上流 , A63F
2016016149A , 次 簡素 シリアル 演出 駆動 データ 制御 パラレル 出力 tr rv 下流 cpu 独立 負担 繰り返す 受ける 回路 伝送 上流 , A63F
2016016150A , 簡素 シリアル 駆動 データ パラレル 単一 下流 tr rv 動体 rvn 出力 付す 受ける 自ら 回路 走る cpu 上流 アドレス , A63F
2016016153A , 興趣 判断 内 始動 vv 達す 発射 大当たり 検出 抽選 vvref 入賞 公平 回収 特別 成立 向上 遊技 カウント 図柄 , A63F
2016016154A , 向上 内 始動 vv 達す 発射 大当たり 特別 保留 抽選 vvref 権利 入賞 公平 回収 条件 成立 検出 遊技 カウント , A63F
2016016155A , 内 始動 vv 達す 発射 大当たり 検出 抽選 vvref 入賞 公平 回収 特別 バックアップ 成立 向上 遊技 図柄 カウント 遮断 , A63F
2016016156A , 表示 メータ 当選 演出 定める 当落 切替 m 抽選 落選 予告 ボタン 段階 進む 弱 次 進行 擬似 長押 進め方 , A63F
2016016161A , 球 装置 振る 公正 可変 回避 変 全て 突起 振り分け サブアタッカ 入賞 矢印 領域 振り分ける アタッカ 方向 e 確 遊技 , A63F
2016016163A , 有効 阻害 低下 演出 表示 示唆 視認 一般 オン 当選 実行 停止 領域 レバー マシン 無効 次 画像 ゲーム スロット , A63F
2016016164A , 阻害 次 終了 低下 演出 開始 マシン 目的 視認 オン 進行 実行 領域 レバー フリーズ 無効 ゲーム スロット , A63F
2016016166A , 表示 演出 開始 遊技 条件 検出 変更 受け付ける 伴う 特定 重畳 成立 進行 操作 画像 意欲 , A63F
2016016175A , 表示 演出 持つ 前面 扉 窓 リール 右側 外部 右 視認 マシン 回転 裏側 取り付ける スロット , A63F
2016016179A , 実現 球 振る なす 否 取り込む 割合 流下 振り分け 正否 向ける 新た 正常 判定 領域 振り分ける パチンコ 偏る 遊技 , A63F
2016016180A , 表示 a 携帯 演出 価値 オープニング 遊技 付加 大当たり 追加 利益 デモ エンディング kt 大量 端末 画像 kta マーク 賞 , A63F
2016016181A , 有効 制御 発揮 続く 演出 入力 場合 期間 図 実行 報知 効果 信号 出力 所定 操作 遊技 設定 , A63F
2016016187A , 表示 実現 球 必然 発生 判る 変動 情報 恩恵 進める 停止 狙う 特定 享受 始動 態様 識別 遊技 付与 易い , A63F
2016016188A , 送信 制御 変換 含む 基礎 受信 伝達 遊技 基づく 指示 更新 通信 特定 種類 所定 成立 好適 生成 情報 装置 , A63F
2016016199A , 溶着 封 止 結ぶ 状態 不正 発見 対向 部材 位置 カバー 仮想 解除 d 可能 対応 離脱 規制 連結 ベース , A63F
2016016201A , 回転 引き込む 決定 左 正解 出力 押し タイムラグ リール スイッチ 外部 蹴飛ばす 停止 信号 フリーズ 伴う 操作 擬似 遊技 打順 , A63F
2016016202A , 制御 利益 演出 メイン 不正 実行 サブ 特別 変更 抽選 書き換え 基板 判定 決定 役 報知 パターン 遊技 受信 設定 , A63F
2016016204A , 乗り入れ 実績 客 減算 確保 利便 媒体 プレイ 運用 口座 払い出す 貯 制限 数 判定 決定 可否 遊技 売上 使用 , A63F
2016016206A , 表示 要素 変換 演出 用いる 否 遊技 示唆 該 結果 特典 個数 判定 高める 付与 趣向 態様 画像 信頼 設定 , A63F
2016016212A , 壁 球 通路 誘導 閉塞 発射 送る 清掃 前側 窓 扉 支持 貯留 突出 遊技 開閉 案内 , A63F
2016016214A , 装置 付与 管理 1つ 取得 指示 の 関連付ける 示す アプリケーション 条件 情報 報酬 充足 ユーザ , A63F
2016016221A , 表示 演出 高める プッシュセンサ 画像 示唆 特別 プッシュ ボタン 段階 種類 発展 期待 遊技 e , A63F
2016016222A , 表示 獲得 演出 高める プッシュセンサ 画像 示唆 特別 プッシュ ボタン 特定 種類 段階 発展 期待 態様 遊技 e , A63F
2016016223A , 表示 バッファ 演出 違和感 盛り上げる リセット 特別 メモリ インターフェース 変動 bgm 変更 跨る 新しい 実行 内容 再生 記憶 連動 図柄 , A63F
2016016224A , 表示 表す 演出 違和感 盛り上げる 記憶 メモリ インターフェース 変動 bgm 変更 現在 跨る 実行 1つ 種類 かかわる 修正 情報 内部 , A63F
2016016231A , 動作 球 開放 前後 ソレノイド ジャ 開閉 配 sol 閉鎖 スペース 変換 入賞 プラン 上下 方向 進退 遊技 流下 後方 , A63F
2016016235A , 表示 かかわる 可変 遊技 開始 範囲 各々 保留 把握 上限 可能 始動 定数 条件 成立 記憶 超える , A63F
2016016243A , バリエーション 属する 要求 アイテム 媒体 興味 通信 ゲーム うち 増やす 該 グループ プログラム 取得 端末 サーバ プレイ 前記 コンピュータ ユーザ , A63F
2016016245A , レンタル 勝敗 対応付ける それぞれ 意欲 エネミーユニット 借りる ゲーム 敗北 プレイヤー コンピューター ユニット パラメーター 決定 新た 行なう 勝利 前記 対戦 設定 , A63F
2016016246A , 滞留 球 前記 無駄 動作 発射 消化 流下 状態 特別 閉鎖 当該 当り 待機 入賞 実行 時間 時期 遊技 開 , A63F
2016016251A , 送信 メダル 獲得 メイン 情報 制御 経過 払い出す サブ 更新 受信 払 a ごと とき get コマンド 遊技 カウント 総数 , A63F
2016016252A , 送信 メダル 獲得 メイン 情報 制御 経過 払い出す サブ 更新 get とき 払 ごと カウンタ win 総数 遊技 カウント コマンド , A63F
2016016253A , 送信 メダル メイン 情報 制御 経過 win サブ 払い出す 更新 受信 とき 払 ごと カウンタ get 総数 遊技 カウント コマンド , A63F
2016016254A , 表示 制御 メイン 情報 get カウンタ サブ マシン 更新 送信 払 差分 メダル とき スロット 受信 遊技 数値 カウント コマンド , A63F
2016016255A , 送信 制御 獲得 メイン 表示 get カウンタ サブ 断 更新 メダル とき 払 差分 数値 情報 受信 遊技 カウント コマンド , A63F
2016016256A , 表示 制御 獲得 受信 get カウンタ サブ エラー マシン 更新 送信 b 払 差分 数値 情報 解消 遊技 カウント コマンド , A63F
2016016257A , 表示 制御 獲得 確定 受信 get カウンタ サブ メイン 更新 とき ベット 差分 数値 マシン スロット 遊技 前後 カウント コマンド , A63F
2016016258A , 表示 制御 獲得 確定 受信 get カウンタ サブ 断 更新 送信 ベット 差分 数値 情報 復帰 b 遊技 カウント コマンド , A63F
2016016259A , 表示 制御 獲得 確定 受信 get カウンタ サブ メイン マシン 更新 ベット 払 差分 数値 とき スロット 遊技 カウント コマンド , A63F
2016016260A , 表示 制御 c 上乗せ 数値 受信 メイン カウンタ サブ 差分 更新 とき at 決定 マシン 役 スロット 遊技 カウント コマンド , A63F
2016016261A , 表示 制御 上乗せ 数値 受信 カウンタ サブ 差分 更新 とき at 決定 マシン 役 スロット 態様 遊技 応じる カウント コマンド , A63F
2016016262A , 表示 制御 上乗せ 数値 受信 カウンタ サブ メイン マシン 更新 とき at 決定 情報 役 スロット 態様 遊技 カウント コマンド , A63F
2016016263A , 表示 制御 上乗せ 数値 受信 復帰 カウンタ サブ 断 更新 送信 差分 b at 決定 情報 役 遊技 カウント コマンド , A63F
2016016264A , 表示 制御 上乗せ 遊技 数値 受信 カウンタ サブ 断 更新 送信 含む at 決定 復帰 役 態様 情報 カウント コマンド , A63F
2016016271A , 表示 応じる 技術 判断 言う バーコード 乏しい 満たす 企業 結果 ゲーム 利用 要求 プログラム 要件 引き渡す ルール 生成 クーポン ステップ , A63F
2016016273A , 表示 分割 リーチ メイン 単独 画像 夫 変動 指定 特定 1つ 前 成立 進行 演出 4つ 遊技 e 特別 図柄 , A63F
2016016274A , 通行 長い 6つ 相違 中心 迷路 サイズ 4つ 玩具 正三角形 正方形 パズル 停止 角形 区画 縦横 辺 正六角形 半分 寸法 , A63F
2016016275A , 表示 特定 演出 メイン 変動 開始 背景 切り替え 専用 唐突 大役 抽選 印象 実行 示す 決定 引き続く 画像 意欲 パターン , A63F
2016016280A , 制御 演出 場合 開始 生起 残り 示唆 状態 種別 基づく パチンコ 特定 判定 t 実行 所定 成立 係る 当たり 遊技 , A63F
2016016281A , 表示 特殊 演出 可変 もとづく 開始 保留 特別 変化 多様 興趣 タイミング 識別 態様 遊技 持つ , A63F
2016016286A , クイズ 選択肢 付与 機会 個別 複数 満たす 平等 量 変化 欄 ap システム 行動 結果 条件 キャラクタ プレイ ゲーム ユーザ , A63F
2016016287A , フェーズ 意見 機会 g1 プレイ クイズ 8つ 攻撃 システム 敵 共用 キャラクタ 部位 共有 付与 mg 情報 ゲーム 対戦 ユーザ , A63F
2016016288A , 演出 発光 移動 位置 ある 該 可能 高める 投 効果 とき , A63F
2016016290A , ッピングモータ 振る 駆動 不正 流下 ステッピングモータ 振り分け 新た 排出 ステ 2つ 体 防止 領域 振り分ける 比率 流入 シーソー 遊技 均等 , A63F
2016016291A , 度数 店員 受信 達す 回数 金額 累計 使用 処理 情報 貸出 場合 実行 示す 信号 出力 所定 残高 遊技 端数 , A63F
2016016296A , 液晶 ビーズ 強化 設ける サブ 対策 コンデンサ ノイズ ツェナーダイオード 信号 フェライト バリスタ 双方向 , A63F
2016016297A , 液晶 ビーズ 強化 設ける サブ 対策 コンデンサ ノイズ ツェナーダイオード 信号 フェライト バリスタ 双方向 , A63F
2016016298A , 液晶 ビーズ 強化 設ける サブ 対策 コンデンサ ノイズ ツェナーダイオード 信号 フェライト バリスタ 双方向 , A63F
2016016314A , レンタル 勝敗 対応付ける それぞれ 意欲 エネミーユニット 借りる ゲーム 敗北 プレイヤー コンピューター ユニット パラメーター 決定 新た 行なう 勝利 前記 対戦 設定 , A63F
2016016315A , 行う 当選 付与 持つ 意欲 媒体 全て 確率 抽選 プレイヤ 要求 複数 関連付ける 継続 一つ 維持 サーバ 記憶 ゲーム , A63F
2016016316A , 行う 動作 発光 移動 一部 特徴 拒否 操作 遊技 前記 持つ , A63F
2016016319A , オブジェクト 透過 空間 処理 不可能 煩わしい カメラ 視界 各種 生成 円滑 プログラム 領域 決定 対象 仮想 画像 ゲーム 作用 ユーザ , A63F
2016016324A , 行う 制御 当選 付与 一つ 意欲 媒体 全て 確率 抽選 プレイヤ 要求 複数 関連付ける 継続 方法 維持 記憶 ゲーム コンピュータ , A63F
2016016332A , 終了 演出 値 達す 継続 カウンタ 状態 特別 抽選 開始 実行 at ごと 場合 区間 遊技 セット 適切 設定 , A63F
2016016333A , 表示 ラウンド 特殊 演出 楽しい 大当たり ハズレ 変動 変更 事前 同等 先読み 判定 実行 所定 モード 基準 遊技 時点 案内 , A63F
2016018217A , 有す 吸気 接触 中心 ヒートパイプ 下面 上側 送風 エッジ 上 ハウジング 延伸 ヒートモジュール 近い インペラ プレート j 薄型 ファン 側壁 , G06F
2016018218A , 帳票 確認 書き込み ドキュメント 存在 クラ レコード url 権限 アタッチ 保存 文書 サービス クラウドサービス リクエスト ウド cps 生成 id フォルダ , G06F
2016018220A , 素材 印刷 容量 加工 手袋 設備 タッチパネル 専用 ニット 導 着色 商品 pvc ゾル 静 操作 既存 複雑 従来 指先 , G06F
2016018222A , 実現 場合 関係 管理 滞留 保証 運用 内部 背景 サービス 優先 リクエスト 処理 先頭 相互 キュー 格納 後続 順位 つける , G06F
2016018223A , 表示 制御 選択肢 対応 ジェスチャー 直感 みなす かざす 素早い ドライバー 検出 認識 検知 車載 出力 操作 ユーザ 情報 手 候補 , G06F
2016018225A , 状況 分割 算出 したがう 容量 データ 制御 維持 速度 アクセス 空き 装置 秘匿 プログラム 対象 比率 図る 記憶 前記 コンピュータ , G06F
2016018226A , やり取り 要求 端末 印刷 受信 データ 保存 プレビュー 指示 タイミング 変換 通信 形成 システム 削除 サーバ 画像 装置 適切 ユーザ , G06F
2016018227A , 抽出 b 用いる 手順 作成 置き換える 演算 ソフトウェア 差分 反映 ファイル 起動 示す 情報処理 情報 操作 作業 編集 前後 ログ , G06F
2016018229A , テキスト 不要 ドキュメント 類似 出力 特徴 検索 音声 合算 ラベル 認識 発話 ベクトル 話者 結果 対象 単語 記憶 算出 空間 , G06F
2016018233A , オブジェクト スクリプト 単位 コード 負担 1つ 残り 共通 着目 ウェブアプリケーション キャッシュ 場合 変換 関数 軽減 処理 記述 内部 , G06F
2016018235A , 機能 端末 複数 使い勝手 応じる タッチパネル j カテゴリ 指定 インストール ri 選定 連携 分類 要件 アプリ 調節 情報 ウィジェット 車載 , G06F
2016018239A , 表示 メインプロセッサ 変換 項目 略 処理 タッチパッド 接触 入力 座標 指示 実行 近接 情報処理 操作 パッド 情報 前記 指 , G06F
2016018240A , 実現 参照 定義 対応付ける データ 当該 実行 テーブル 命令 特定 プロセス プログラム 情報処理 記録 コンピュータ 処理 情報 トレース アドレス コマンド , G06F
2016018246A , 次 以外 同時 処理 切り替える 場合 シングル 状態 通信 マルチ 要求 ログイン 情報処理 認証 受け付ける その後 人体 利用 ユーザ , G06F
2016018247A , 表示 選定 局所 詳細 クラスタ パラメータ チューニング データ 情報 管理 分類 汎 クラスタリング サブシステム 処理 可視 集合 類似 試行 メタ , G06F
2016018249A , 表示 制御 項目 種類 信号 利便 合う 検出 種別 メニュー 入れ替える 配列 ユーザー 入力 画像 係る 編集 前記 適切 端子 , G06F
2016018250A , 表示 要素 構造 値 制御 変数 行う 形式 行 通信 体型 行列 配列 メンバ 列 ディスプレイ モニタ 多数 , G06F
2016018251A , a バッファ 要求 転送 データ サイズ バス 入力 w 否 cra マスタ ライト cr 結合 バースト 任意 管理 アドレス コマンド , G06F
2016018252A , 動作 解析 無い 手 状態 両手 指定 数量 センサ ジェスチャ ストレス 判定 数値 とき 加減 空間 最小 認識 最小限 ユーザ , G06F
2016018253A , 分岐 代用 プログラム コンピュータ スタブ 型 変更 ソフトウェア シンボリック 網羅 有る 実行 返る 種類 有無 返却 定義 前記 支援 相違 , G06F
2016018254A , 表示 要素 位置 包含 関係 ブラウザ 修正 互換 比較 複数 特定 判定 候補 データ 他 相互 相対 箇所 前記 領域 , G06F
2016018257A , パスワード オフライン 方法 ハードウェア 固有 暗号 安全 デバイス puf 秘密 基づく 特性 生成 攻撃 困難 利用 併用 条件 認証 情報 , G06F
2016018260A , 表示 入力 端末 処理 接近 物体 接触 通信 能力 クライアントサーバシステム 画面 実行 操作 予測 指示 タイミング クライアント 生成 情報 時刻 , G06F
2016018264A , 行う 発行 セキュリティ 判断 損なう 印刷 ジェスチャー 登録 開始 動画 機能 近づく 認識 要求 顔 有無 解析 カメラ 利便 ユーザ , G06F
2016018265A , やりとり web ドライバ 電子 端末 用意 添付 保存 自身 セット mfp サービス メール 取得 アプリケーション 介す アップ 画像 スキャナ フォルダ , G06F
2016018269A , 消費 リソース 部品 変更 満たす 許容 支援 箇所 設計 技術 モジュール 提示 選択肢 代替 プログラム 取得 開発 抽出 前記 設定 , G06F
2016018270A , 開口 交差 シール 対応 隙間 厚い タッチパネル 接触 db アクチュエータ 方向 音 保持 沿う 部位 タッチ 操作 振動 矩形 両立 , G06F
2016018272A , 所定 完了 試験 キャッシュメモリ 実行 サイズ 割り込む メモリ データ 更新 交互 命令 ストアデータ 処理 読み込む 順番 開始 レジスタ 組み合わせ アドレス , G06F
2016018273A , 読出し 処理 ステップ データ サイズ フラッシュ 否定 塊 応じる 初回 nand s 先読み エントリ 予測 n 肯定 テーブル デバイス 補助 , G06F
2016018275A , 表示 運転 参照 電気 説明 抽出 取扱 システム 電子 メール 機器 対応 係る 情報 前記 適切 , G06F
2016018277A , 表示 電極 駆動 adp 信号 循環 配置 検出 変更 tp 交互 静 泳 領域 atp タッチ 処理 部分 dp 供給 , G06F
2016018279A , 登録 項目 対応 見出し 多数 指定 該 種別 結果 文書 前記 づける 思う 検索 ファイル プログラム 出力 記憶 特定 コンピュータ , G06F
2016018281A , 実装 ウェブサイト 情報処理 データ通信 データ 通知 ブラウザ エラー 通信 検出 生成 閲覧 リクエスト 処理 http サーバ レスポンス 情報 正しい , G06F
2016018282A , 有効 反射 モード 光量 動作 光 センサユニット 設定 基づく 検出 指示 座標 使い勝手 分布 投 受光 入力 パラメータ 直接 再帰 , G06F
2016018283A , 送信 装置 端末 印刷 探索 当該 自身 通信 向ける 要求 接続 特定 処理 ネットワーク nfc 介す 取得 情報 簡便 近づける , G06F
2016018284A , 絶縁 レジスト その後 ワイヤー 電極 ito pet ドライフィルムレジスト ナノ 導 ドライ 導通 基板 形成 1つ 入力 表面 フィルム 工程 チューブ , G06F
2016018285A , 汎用 呼び出す 印刷 データ パラメータ 呼出 考慮 ユーザー 使い勝手 達成 基づく お気に入り 連携 通知 用意 アプリケーション アプリ ルール 情報 設定 , G06F
2016018286A , 要素 作成 ベクトル 付与 共起 クエリ 行列 情報 モデル フラグ 行動 検索 頻度 予測 集合 地名 意図 特徴 キーワード タイプ , G06F
2016018287A , 制御 品質 受信 要する データ 外部 機器 相反 目的 通信 技術 低下 負荷 処理 関係 監視 , G06F
2016018288A , ガリウム 透明 屈折 硫黄 含有 透過 発明 金属 前記 体 湿る 耐性 引 導 タッチパネル 抵抗 配線 , G06F
2016018289A , 自己 位置 方式 容量 補償 タッチパネル 回路 卍 新しい 座標 導 マルチ ポイント 分布 単元 タッチ 軸 ic リアル 反映 , G06F
